NameofOrganisation,Latitude,Longitude
Na Wulg Wulg Family Care Service,-14.4558,132.2589
NAAJA,-18.33403,130.6337388
National Disability Coordination Officer (NDCO) Program,-12.372,130.87
National Disability Insurance Agency,-19.6528283,134.1886741
Neutral Junction School,-21.523649,133.986254
Ngukurr Art Aboriginal Corporation,-14.7317,134.7321
Ngukurr Community Education Centre School Council,-14.7317,134.7321
Ngukurr Progress Aboriginal Corporation/Outback Stores,-14.7317,134.7321
Ngukurr School (Roper River),-14.728941,134.732852
Nitjpurru Aboriginal Corporation,-16.8141,131.2204
NLC/AAPA/YMDAC,-14.7317,134.7321
NLC/Yugul Mangi Development Corporation (YMDAC) ,-14.7317,134.7321
North Australian Aboriginal Justice Agency Ltd (NAAJA),-14.465364,132.2628142
Northern Land Council (NLC),-14.7317,134.7321
Northern Territory Legal Aid Commission,-14.463081,132.264294
"Northern Territory Police, Fire and Emergency Services",-14.4649,132.26425
"Northern Territory Police, Fire and Emergency Services",-19.647114,134.190252
NT Early Intervention Pilot Program,-14.4664,132.2639
NT Friendship and Support Inc ,-14.467,132.265
NT Shelter Inc,-12.463262,130.842927
NT Working Women's Centre,-12.455886,130.838954
Numbulwar School Council Incorporated,-14.2791,135.7406
Pigeon Hole School ( Bunbidee ),-16.814414,131.22073
Pine Creek Aboriginal Advancement Association,-13.816,131.8311
Pine Creek School,-13.821604,131.836241
Power and Water Corporation - Indigenous Essential Services Pty Ltd (IES),-17.4468,130.8321
Regional Operations Centre,-18.33403,130.6337388
Regional Operations Centre,-14.7317,134.7321
Relationships Australia NT,-14.4649,132.26425
Rivers Region Youth Development Scheme,-14.4649,132.26425
Robinson River School (Mungoobada),-16.76012,136.981316
Rockhampton Downs School,-18.951656,135.190247
Roper Gulf Shire - Jilkminggan Creche,-14.9531,133.3
Roper Gulf Shire - Wugularr Creche (Beswick),-14.5548,133.1142
Roper Gulf Shire Council,-14.476491,132.287474
Roper Gulf Shire Council - Barunga,-14.5236,132.8667
Roper Gulf Shire Council - Beswick,-14.5548,133.1142
Roper Gulf Shire Council - Bulman,-13.6653,134.3333
Roper Gulf Shire Council - Garawa,-16.0688,136.3213
Roper Gulf Shire Council - Jilkminggan,-14.9531,133.3
Roper Gulf Shire Council - Manyallaluk,-14.2665,132.828
Roper Gulf Shire Council - Mataranka,-14.9262,133.0674
Roper Gulf Shire Council - Minyerri,-15.2216,134.0821
Roper Gulf Shire Council - Ngukurr,-14.7317,134.7321
Roper Gulf Shire Council - Numbulwar,-14.2791,135.7406
Roper Gulf Shire Council - Robinson River,-16.7597,136.9806
Saint Vincent de Paul,-14.461099,132.26762
Saint Vincent de Paul,-14.4736,132.2693
Salvation Army,-14.464016,132.263149
Sexual Assault Referral Centre,-14.4649,132.26425
Somerville Community Services,-14.4627003,132.2622855
Speech Pathology Services,-14.4649,132.26425
St John Ambulance Department of Education and Training Program,-14.4649,132.26425
St Josephs,-14.4649,132.26425
Step Out Community Access Service Inc,-14.4628485,132.2624462
Stirling School,-21.740148,133.734469
Sunrise Health Service,-14.462832,132.263007
Sunrise Health Service - Badawarrka,-14.696,134.4438
Sunrise Health Service - Barunga,-14.5236,132.8667
Sunrise Health Service - Beswick,-14.5548,133.1142
Sunrise Health Service - Bulman,-13.6653,134.3333
Sunrise Health Service - Jomet,-15.4207,133.1115
Sunrise Health Service - Kewulyi,-14.927,134.0093
Sunrise Health Service - Manyallaluk,-14.2665,132.828
Sunrise Health Service - Mataranka,-14.9262,133.0674
Sunrise Health Service - Minyerri,-15.2216,134.0821
Sunrise Health Service - Nugkurr,-14.7317,134.7321
Sunrise Health Service - Urapunga,-14.7101,134.5653
Sunrise Health Service - Werenbun,-14.1826,132.1611
Sunrise Health Service- Jilkminggan,-14.9531,133.3
Tamarind Centre (Darwin Based),-14.4649,132.26425
Tennant Creek General Practice,-19.6463735,134.188178
Tennant Creek High School,-19.643408,134.196114
Tennant Creek Hospital,-19.648046,134.187188
Tennant Creek Pharmacy,-19.647748,134.190803
Tennant Creek Primary School,-19.649192,134.189261
Tennant Creek Women's Refuge,-19.658102,134.190443
Terrace Pharmacy,-14.465364,132.2628142
The Smith Family,-16.0688,136.3213
Timber Creek School,-15.647676,130.465659
Timber Creek School Council,-15.6753,130.4846
Tindal Pre-School (Katherine South Primary),-14.499007,132.397785
Top End Association for Mental Health Inc (TEAMhealth),-14.46371,132.26416
Urapunga School,-14.710076,134.564248
Victoria Daly Shire Council,-14.466551,132.264192
Victoria Daly Shire Council - Kalkarindgji,-17.4468,130.8321
Victoria Daly Shire Council - Pigeon Hole,-16.8141,131.2204
Victoria Daly Shire Council - Pine Creek,-13.816,131.8311
Victoria Daly Shire Council - Timber Creek,-15.6753,130.4846
Victoria Daly Shire Council - Yarralin,-16.4484,130.8828
Warnayaka Art Centre ,-18.33403,130.6337388
Waulaign Rangers - CLC,-18.33403,130.6337388
Witness Assistance Service,-14.4664,132.2639
World Vision contracted by Warlpiri Education and Training Trust,-18.33403,130.6337388
Wugularr School ( Beswick ),-14.561923,133.119128
Wurli Wurlinjang Health Service,-14.46079,132.264903
Wurli Wurlinjang Health Service - Chronic Disease Clinic,-14.465,132.26
Yarralin School,-16.446931,130.88194
YMCA,-14.471105,132.277837
YouthWorX NT,-14.461807,132.263718
Yugul Mangi Development Corporation (YMDAC),-14.4649,132.26425
Ngankiritja,-23.46459,131.87969
Tarawara,-23.54726,131.41338
Camel's Hump,-23.75175,131.59435
Alkngarriintja,-23.95602,132.46233
Ntakarra,-23.89501389,132.6800139
Ipalala,-23.92556,132.67808
Ulpunda,-23.9546,132.766
Palm Paddock,-24.08534,132.68126
Deleye,-13.76535,129.97667
Kuwuma,-13.59805,130.36991
Kwombom,-13.95523,130.29075
Wudaduk,-14.02771,129.94375
16 Mile Camp,-23.45764,133.83248
Blacktank Bore,-23.32352,134.02049
Turners Camp,-23.30514,134.06937
Williams Well,-23.67327,134.27874
Akarnenehe Well,-23.05992,136.19361
Antere,-25.66309,134.40934
Oak Valley,-24.38498,133.93218
Mount Peachy,-24.39416,133.87181
Pwertentye,-23.37291,134.79239
Barridjowkeng,-12.348625,134.17529
Ji-Malawa,-12.12168,134.67334
Yaminyi,-12.790261,134.356992
Kudantiga,-14.42918056,129.4291806
Wumirdin,-14.18907,129.56319
Barraratjpi,-13.21858,136.39138
Yartalu Yartalu,-20.57253,130.35528
Pwerte Marnte Marnte,-24.37338,133.71982
Kalumbulani,-16.877195,131.21949
Doojum,-15.72519,129.15921
Burta Wurta,-17.535972,130.475916
Gimbat,-13.57854,132.60772
Banatjarl,-14.47668,132.651402
Kalpitapta,-20.89936,135.35397
Snake Well,-23.15945833,133.9152917
Bunhanura,-12.37449,135.72221
Fitzroy Station,-15.56298,130.93431
Menngen,-15.35695833,131.2730694
Wiitin,-19.54493055,134.2365694
Spotted Tiger,-23.04308,134.91761
Dhulmulmiya,-12.52781,136.72533
Dhaniya,-12.55007,136.73791
Daliwuy Bay,-12.34084722,136.9183472
Mount Jean,-13.53259,134.17191
Scott Point,-13.75212,136.84751
Akwalirrumanja,-13.86346,136.77866
Angwura,-13.91942,136.72609
Barnamarrakkakanora,-12.1319,134.375
Cattle Creek,-17.59747,131.545211
Kulumpurlpa,-19.0053,134.9161
Kurinelli,-20.6114,135.04
Kulpitharra,-23.73973611,132.0027917
Kunapula,-25.15697,129.23411
Kungkayunti,-23.62647,131.24371
Armstrongs,-23.87918,132.68001
Kurkutjara,-25.94178,129.41115
Inkwelaye,-22.07951,134.83153
Kwala,-23.92723611,132.8897361
Labrapuntja,-23.91184,132.93926
Laramba,-22.532972,132.75603
Larapinta Valley,-23.71104167,133.8514028
Lilla,-24.29728,131.60327
Inarlenge,-23.72881944,133.8589583
Little Well,-24.13547,135.33314
Ltira,-24.05709,132.90182
Liltjera,-23.9364,132.63779
Lyilyalanama,-23.94723611,132.7447361
Mantapayika,-25.47458,130.22561
Old Station,-24.01911,132.86345
Mbalkanaka,-23.95349,132.87547
Yikarrakkal,-12.503625,134.1114028
Red Lily,-12.86449,132.56967
Hunters Camp,-12.65001,132.8291
Mumukala,-12.61137,132.66648
Ngipin,-11.60003,133.45832
Buymarr,-12.69827,136.63653
Gutjangan,-12.0839,136.80857
Dharawa,-11.84938,135.84693
Dhayirri,-11.9612,135.6187
Galawarra,-12.0444,135.59373
Mudhamul,-12.16089,136.17208
Bishops Bore,-14.61452,133.07053
Baghetti,-13.75874,134.46372
Doolgarina,-16.229168,136.76611
Ijarra,-16.2152,136.00501
North Island,-15.56294,136.84527
Wada Wadalla,-15.92948,136.42886
Manangoora,-16.0515,136.86085
Wurlbu,-16.07464,136.28415
Dillinya,-15.85698,132.04505
Lija Mukumparla,-17.33208,135.08074
Kurraya,-19.76559,134.47545
Ankweleyelengkwe,-21.59675,133.75517
Jemelke,-21.533888,133.87473
Minmarama Park,-12.41118055,130.8491806
Iron Stone,-12.89499,130.43571
Mobarn,-13.57939,134.35499
Mariah,-11.22968,132.38022
Blue Bush,-19.02411,133.73583
Imperrenth,-21.21086,134.96858
Uminyuluk,-13.83073,130.05311
Garanydjirr,-12.28204,135.02095
Mu-Gurta,-12.25897,134.50814
Djinkarr,-12.21287,134.29626
Jarramagorndarra,-12.29072,134.65311
Kumurrulu,-12.27171,134.07048
Armorran,-11.75575,133.38142
Ngarlu Ngarlu,-11.86629,133.40906
Tommyhawk Swamp,-22.194306,134.592739
Buffalo Farm,-12.81369,132.59382
Mulggan,-14.92004167,133.0739028
Cow Lagoon,-16.20751,135.94962
Hingstons Place,-19.61773,134.19703
Napagunpa,-19.10426,133.61851
Pakulki,-19.50438,134.41846
Buni-Inwunbuluk,-11.40613,132.82554
Murgenella Plains,-11.71041,132.91239
Irgul Point,-11.34201,132.52876
Adbanae,-11.24167,131.97531
Kapalga,-12.69876389,132.371125
Djirrbiyak,-12.72945,132.763625
Wauk,-11.548625,132.9250139
Namugardabu,-12.157791,134.02473
Kungarrewarl,-12.34346,133.05617
Nangak,-12.21148,134.28387
Nangu,-14.37314,129.37335
Nabarlek,-12.30829,133.29216
Nadirri,-13.95376,129.76657
Nauiyu,-13.75054167,130.6889306
Wurrumiyanga,-11.758306,130.63747
Mbunghara,-23.29071,132.35891
